The total number of sentences is 1951526
Entities per sentence: 
0 entities: 1349772
1 entities: 478960
2 entities: 95397
3 entities: 19295
4 entities: 5116
5 entities: 1538
6 entities: 595
7 entities: 282
8 entities: 172
9 entities: 100
10 entities: 88
12 entities: 41
11 entities: 36
13 entities: 28
14 entities: 19
15 entities: 19
19 entities: 11
20 entities: 11
17 entities: 9
16 entities: 9
18 entities: 7
21 entities: 5
26 entities: 4
22 entities: 3
23 entities: 2
24 entities: 2
35 entities: 2
44 entities: 1
62 entities: 1
30 entities: 1
------------------------------------------------------------------------------------
Sentences lengths: 
5 words: 239095
6 words: 225610
4 words: 212270
3 words: 203527
7 words: 198472
8 words: 159112
9 words: 127346
10 words: 99164
2 words: 81432
11 words: 78152
12 words: 61851
13 words: 50120
14 words: 40004
15 words: 31196
16 words: 24187
17 words: 19444
18 words: 15184
19 words: 12051
20 words: 9865
21 words: 8240
1 words: 7625
22 words: 6873
23 words: 5888
24 words: 4927
25 words: 4303
26 words: 3331
27 words: 2788
28 words: 2599
29 words: 2099
30 words: 1592
31 words: 1332
32 words: 1159
33 words: 1085
34 words: 900
35 words: 793
36 words: 732
37 words: 597
38 words: 516
39 words: 445
40 words: 425
41 words: 382
42 words: 323
43 words: 277
44 words: 268
46 words: 193
45 words: 192
47 words: 185
49 words: 171
48 words: 158
50 words: 122
53 words: 119
51 words: 109
52 words: 107
55 words: 101
56 words: 92
60 words: 86
54 words: 82
58 words: 78
61 words: 75
59 words: 70
57 words: 66
62 words: 55
68 words: 53
64 words: 50
66 words: 45
67 words: 44
70 words: 42
63 words: 40
85 words: 40
75 words: 38
81 words: 37
71 words: 35
65 words: 35
76 words: 35
73 words: 35
90 words: 34
91 words: 34
144 words: 32
74 words: 32
77 words: 31
80 words: 30
84 words: 28
72 words: 28
86 words: 26
102 words: 25
82 words: 24
89 words: 23
92 words: 22
69 words: 22
87 words: 21
95 words: 20
115 words: 20
96 words: 20
88 words: 19
93 words: 18
103 words: 18
104 words: 18
100 words: 18
79 words: 17
78 words: 16
108 words: 16
97 words: 15
123 words: 15
174 words: 14
188 words: 14
105 words: 13
122 words: 13
107 words: 13
98 words: 13
83 words: 13
99 words: 13
150 words: 12
117 words: 12
130 words: 12
114 words: 12
212 words: 12
121 words: 11
106 words: 11
155 words: 11
149 words: 10
109 words: 10
110 words: 10
146 words: 10
223 words: 10
94 words: 9
139 words: 9
101 words: 9
131 words: 8
111 words: 8
132 words: 8
171 words: 8
147 words: 8
142 words: 8
118 words: 8
202 words: 8
138 words: 7
126 words: 7
172 words: 7
148 words: 7
136 words: 7
113 words: 6
127 words: 6
141 words: 6
134 words: 6
120 words: 6
169 words: 6
129 words: 6
264 words: 6
151 words: 6
143 words: 5
178 words: 5
125 words: 5
119 words: 5
180 words: 5
165 words: 5
217 words: 5
128 words: 5
296 words: 5
116 words: 4
192 words: 4
196 words: 4
133 words: 4
140 words: 4
333 words: 4
152 words: 4
124 words: 4
159 words: 4
137 words: 4
184 words: 4
135 words: 4
213 words: 4
330 words: 4
429 words: 4
170 words: 3
239 words: 3
112 words: 3
195 words: 3
206 words: 3
177 words: 3
154 words: 3
194 words: 3
158 words: 3
204 words: 3
279 words: 3
182 words: 3
211 words: 3
232 words: 3
263 words: 3
299 words: 3
260 words: 3
164 words: 3
303 words: 3
191 words: 2
259 words: 2
262 words: 2
235 words: 2
344 words: 2
331 words: 2
156 words: 2
317 words: 2
507 words: 2
297 words: 2
230 words: 2
207 words: 2
198 words: 2
190 words: 2
199 words: 2
197 words: 2
292 words: 2
350 words: 2
185 words: 2
275 words: 2
363 words: 2
166 words: 2
338 words: 2
431 words: 2
700 words: 2
145 words: 2
340 words: 2
219 words: 2
214 words: 1
277 words: 1
238 words: 1
236 words: 1
208 words: 1
355 words: 1
240 words: 1
390 words: 1
388 words: 1
254 words: 1
271 words: 1
210 words: 1
353 words: 1
281 words: 1
221 words: 1
183 words: 1
193 words: 1
499 words: 1
179 words: 1
245 words: 1
453 words: 1
253 words: 1
251 words: 1
186 words: 1
252 words: 1
215 words: 1
435 words: 1
257 words: 1
258 words: 1
242 words: 1
349 words: 1
224 words: 1
284 words: 1
528 words: 1
168 words: 1
288 words: 1
266 words: 1
161 words: 1
458 words: 1
228 words: 1
576 words: 1
226 words: 1
306 words: 1
265 words: 1
250 words: 1
273 words: 1
181 words: 1
708 words: 1
225 words: 1
176 words: 1
175 words: 1
167 words: 1
162 words: 1
523 words: 1
157 words: 1
289 words: 1
205 words: 1
200 words: 1
163 words: 1
425 words: 1
274 words: 1
203 words: 1
605 words: 1
438 words: 1
445 words: 1
227 words: 1
